% RR interval,RV pressure (mmHg)
0,16.9611307420494
2.64900662251657,17.1378091872791
3.31125827814569,17.8445229681979
5.2980132450331,18.1978798586572
5.2980132450331,19.0812720848056
5.96026490066225,19.964664310954
6.62251655629137,21.2014134275618
7.94701986754967,22.791519434629
9.27152317880794,24.2049469964664
9.27152317880794,26.678445229682
10.5960264900662,27.7385159010601
11.2582781456954,30.565371024735
12.5827814569536,33.5689045936396
13.2450331125828,34.982332155477
13.9072847682119,36.0424028268551
14.569536423841,37.1024734982332
15.2317880794702,37.9858657243816
15.8940397350993,39.7526501766784
17.2185430463576,40.9893992932862
17.2185430463576,41.8727915194346
19.205298013245,42.5795053003534
20.5298013245033,42.0494699646643
21.8543046357616,41.3427561837456
23.841059602649,40.4593639575972
25.8278145695364,39.7526501766784
27.8145695364238,39.2226148409894
29.8013245033113,38.6925795053003
31.7880794701987,38.1625441696113
33.112582781457,37.2791519434629
35.0993377483444,36.5724381625442
35.7615894039735,35.8657243816254
36.4238410596026,34.8056537102473
38.4105960264901,33.7455830388692
39.7350993377484,32.5088339222615
41.7218543046357,31.2720848056537
43.046357615894,29.8586572438162
43.7086092715232,28.0918727915194
45.0331125827815,27.208480565371
46.3576158940397,25.6183745583039
47.0198675496688,23.8515901060071
48.3443708609271,20.8480565371025
49.0066225165563,19.964664310954
49.6688741721854,17.6678445229682
50.9933774834437,16.4310954063604
50.9933774834437,14.6643109540636
52.3178807947019,13.7809187279152
53.6423841059602,12.190812720848
53.6423841059602,10.6007067137809
55.6291390728477,9.89399293286218
57.6158940397351,10.6007067137809
58.9403973509934,11.4840989399293
60.2649006622516,12.3674911660777
61.5894039735099,13.0742049469964
64.2384105960265,13.4275618374558
65.5629139072848,12.7208480565371
67.5496688741722,11.8374558303887
71.523178807947,11.8374558303887
73.5099337748344,12.3674911660777
75.4966887417218,13.0742049469964
76.8211920529801,13.9575971731448
79.4701986754967,14.6643109540636
81.4569536423841,15.0176678445229
84.1059602649006,15.0176678445229
87.4172185430463,15.3710247349823
89.4039735099338,16.077738515901
91.3907284768212,16.7844522968198
94.7019867549669,17.1378091872791
98.0132450331126,16.9611307420494
