Patch Number,Myocardial work value
1,11.0506563257192
2,11.7158283931395
3,12.2470605904075
4,9.80688855219203
5,12.3701472598615
6,12.7974821847627
7,11.081745928193
8,8.86043379070047
9,12.957015792107
10,13.3124107185826
11,12.3953956839663
12,13.6356526589845
13,12.7122308247968
14,10.8512492660741
15,8.56854665372149
16,12.4525927891168
17,12.688358237996
18,13.1817817529823
19,12.9470574663468
20,10.4081820857953
21,8.90367726251245
22,12.335634175908
23,12.9332976878846
24,13.2681345328763
25,11.6282214313538
26,8.62332343956136
27,12.9605921260362
28,13.3095436711992
29,13.2218944085572
30,13.2728655582669
31,10.4575441191797
32,8.80051432344464
33,12.9985517056355
34,13.3531768234782
35,13.2915329607061
36,13.4304405881127
37,11.5076202547301
38,9.20827625871757
39,13.4154664211379
40,13.2703748006767
41,13.8591569547781
42,13.0219279353808
43,11.7002733754134
44,10.1256993868836
45,13.7034673106361
46,12.8497099080837
47,10.8958865578474
48,11.6531764415179
49,12.2648428151635
50,11.9445866674286
51,11.3649101088624
52,11.7736217881766
53,11.3279025829408
54,11.0446226517721
55,11.2532208140232
56,11.4189408736889
57,11.1989049536085
58,11.2704675158522
59,10.2779583661442
60,9.71691838342065
61,11.8895925976561
62,12.1164554327122
63,11.6245829076948
64,12.2632091348114
65,11.7050053997476
66,10.3685812813847
67,8.76841014915485
68,12.1518184769705
69,12.2257650925601
70,12.2890842008801
71,12.1697365257823
72,10.1079724988932
73,8.63489701186234
74,12.8864965682597
75,11.5980347748648
76,12.7885225813332
77,12.6755744949007
78,9.22102243366622
79,11.7589132603679
80,11.4120070044842
81,13.374566369907
82,11.0270139560379
83,12.7136502122831
84,8.77483108228018
85,11.3820543934749
86,13.6102635602939
87,11.957696119881
88,9.13979912467138
89,13.7169624321232
90,13.7774966037247
91,13.1712937394773
92,14.0604788295496
93,8.97561899536663
94,13.4747037819627
95,13.5994169483283
96,14.0447243470445
97,13.9519953362617
98,9.42615214736706
99,13.3500693621927
100,13.5788348940013
101,14.0741147128524
102,8.63889635902392
103,13.4899440638731
104,13.0992592082652
105,13.7643741206222
106,8.48952342071977
107,13.3317729288743
108,13.2084967594376
109,8.22657940996748
110,12.7066151513975
111,12.3501956744866
112,9.91928331881598
113,8.81912152166029
114,12.0100401833701
115,11.973251575946
116,13.3258136503157
117,13.2320355008271
118,11.2465644211646
119,8.15830538483927
120,11.4734615148554
121,11.4052874546218
122,12.9315973759216
123,12.8391111207907
124,11.311226540641
125,9.72048132464333
126,11.5418188430989
127,11.4150518463691
128,13.9803499042895
129,12.5000877269165
130,9.98369948018967
131,12.436580586753
132,13.6896366236318
133,12.2511853226086
134,7.53457332455751
135,6.40307223033761
136,6.80968058522797
137,7.24667805462464
