x coordinate,y coordinate,z coordinate
222.697397589684,103.201233029366,31.875
220.8868496418,103.201233029366,33.75
222.697397589684,101.390685081482,33.75
222.697397589684,105.011780977249,33.75
224.507945537567,103.201233029366,31.875
224.507945537567,101.390685081482,33.75
224.507945537567,105.011780977249,31.875
224.507945537567,106.822328925133,31.875
222.697397589684,106.822328925133,33.75
224.507945537567,108.632876873016,31.875
222.697397589684,108.632876873016,33.75
224.507945537567,110.4434248209,33.75
226.318493485451,103.201233029366,31.875
226.318493485451,101.390685081482,33.75
226.318493485451,105.011780977249,31.875
226.318493485451,106.822328925133,31.875
226.318493485451,108.632876873016,31.875
226.318493485451,110.4434248209,33.75
228.129041433334,103.201233029366,33.75
228.129041433334,105.011780977249,33.75
228.129041433334,106.822328925133,31.875
228.129041433334,108.632876873016,33.75
229.939589381218,106.822328925133,33.75
208.213014006615,99.5801371335983,33.75
206.402466058731,99.5801371335983,35.625
208.213014006615,97.7695891857147,35.625
208.213014006615,101.390685081482,35.625
210.023561954498,99.5801371335983,33.75
210.023561954498,97.7695891857147,35.625
210.023561954498,101.390685081482,35.625
211.834109902382,94.1484932899475,33.75
210.023561954498,94.1484932899475,35.625
211.834109902382,92.3379453420639,35.625
211.834109902382,95.9590412378311,35.625
211.834109902382,97.7695891857147,33.75
211.834109902382,99.5801371335983,33.75
211.834109902382,101.390685081482,33.75
211.834109902382,103.201233029366,33.75
210.023561954498,103.201233029366,35.625
211.834109902382,105.011780977249,35.625
213.644657850266,92.3379453420639,33.75
213.644657850266,90.5273973941803,35.625
213.644657850266,94.1484932899475,33.75
213.644657850266,95.9590412378311,33.75
213.644657850266,97.7695891857147,33.75
213.644657850266,99.5801371335983,33.75
213.644657850266,101.390685081482,33.75
213.644657850266,103.201233029366,33.75
213.644657850266,105.011780977249,33.75
213.644657850266,106.822328925133,33.75
211.834109902382,106.822328925133,35.625
213.644657850266,108.632876873016,35.625
215.455205798149,92.3379453420639,33.75
215.455205798149,90.5273973941803,35.625
215.455205798149,94.1484932899475,33.75
215.455205798149,95.9590412378311,33.75
215.455205798149,97.7695891857147,33.75
215.455205798149,99.5801371335983,33.75
215.455205798149,101.390685081482,33.75
215.455205798149,103.201233029366,33.75
215.455205798149,105.011780977249,33.75
215.455205798149,106.822328925133,33.75
215.455205798149,108.632876873016,35.625
217.265753746033,90.5273973941803,33.75
217.265753746033,88.7168494462967,35.625
217.265753746033,92.3379453420639,33.75
217.265753746033,94.1484932899475,33.75
217.265753746033,95.9590412378311,33.75
217.265753746033,97.7695891857147,33.75
217.265753746033,99.5801371335983,33.75
217.265753746033,101.390685081482,33.75
217.265753746033,103.201233029366,33.75
217.265753746033,105.011780977249,33.75
217.265753746033,106.822328925133,33.75
217.265753746033,108.632876873016,33.75
217.265753746033,110.4434248209,35.625
219.076301693916,90.5273973941803,35.625
219.076301693916,92.3379453420639,33.75
219.076301693916,94.1484932899475,33.75
219.076301693916,95.9590412378311,33.75
219.076301693916,97.7695891857147,33.75
219.076301693916,99.5801371335983,33.75
219.076301693916,101.390685081482,33.75
219.076301693916,103.201233029366,33.75
219.076301693916,105.011780977249,33.75
219.076301693916,106.822328925133,33.75
219.076301693916,108.632876873016,33.75
219.076301693916,110.4434248209,33.75
219.076301693916,112.253972768784,35.625
220.8868496418,92.3379453420639,35.625
220.8868496418,94.1484932899475,33.75
220.8868496418,95.9590412378311,33.75
220.8868496418,97.7695891857147,33.75
220.8868496418,99.5801371335983,33.75
220.8868496418,101.390685081482,33.75
220.8868496418,105.011780977249,33.75
220.8868496418,106.822328925133,33.75
220.8868496418,108.632876873016,33.75
220.8868496418,110.4434248209,33.75
220.8868496418,112.253972768784,33.75
220.8868496418,114.064520716667,35.625
222.697397589684,94.1484932899475,35.625
222.697397589684,95.9590412378311,33.75
222.697397589684,97.7695891857147,33.75
222.697397589684,99.5801371335983,33.75
222.697397589684,110.4434248209,33.75
222.697397589684,112.253972768784,33.75
222.697397589684,114.064520716667,33.75
222.697397589684,115.875068664551,33.75
220.8868496418,115.875068664551,35.625
222.697397589684,117.685616612434,35.625
224.507945537567,95.9590412378311,35.625
224.507945537567,97.7695891857147,33.75
224.507945537567,99.5801371335983,33.75
224.507945537567,112.253972768784,33.75
224.507945537567,114.064520716667,33.75
224.507945537567,115.875068664551,33.75
224.507945537567,117.685616612434,35.625
226.318493485451,97.7695891857147,35.625
226.318493485451,99.5801371335983,33.75
226.318493485451,112.253972768784,33.75
226.318493485451,114.064520716667,33.75
226.318493485451,115.875068664551,35.625
228.129041433334,99.5801371335983,33.75
228.129041433334,97.7695891857147,35.625
228.129041433334,101.390685081482,33.75
228.129041433334,110.4434248209,33.75
228.129041433334,112.253972768784,33.75
228.129041433334,114.064520716667,33.75
228.129041433334,115.875068664551,35.625
229.939589381218,99.5801371335983,35.625
229.939589381218,101.390685081482,33.75
229.939589381218,103.201233029366,33.75
229.939589381218,105.011780977249,33.75
229.939589381218,108.632876873016,33.75
229.939589381218,110.4434248209,33.75
