Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1,0,-0.0765658656792745,-0.0280737234863124,-0.0503718123424373,-0.0391406020690924,-0.056975487698921,-0.0755485302027391,-0.0223926712471384,0.00634129352453416
2,0,-0.108376360569797,-0.0714889743216002,-0.0811476966057021,-0.0560751345776813,-0.0680266924026205,-0.128597344415712,-0.0603012027669714,-0.0153645748309075
3,0,-0.110330860718812,-0.0733102072953207,-0.0927687598400739,-0.0600932767893977,-0.0756141863581296,-0.119928587601137,-0.0682541617185284,0.00139723252882828
4,0,-0.124710036627077,-0.0846895007157498,-0.0891697530297166,-0.0559303778256914,-0.0564792227736396,-0.144121099649016,-0.0648342842381217,-0.0542099510404197
5,0,-0.128493366670699,-0.0993022658170614,-0.102852891149615,-0.0718566044033052,-0.0711821316583714,-0.169058550742271,-0.0937090130734332,-0.0413344074244822
6,0,-0.125973393518648,-0.0936637029612615,-0.098002170308513,-0.070941144244179,-0.0683400095415563,-0.159770801662601,-0.0804292123290746,-0.085263762198634
7,0,-0.103737674281944,-0.0693760150986539,-0.0933930364513774,-0.064179182142606,-0.0735342040081681,-0.114314633500043,-0.0767835169357908,0.00727840865502882
8,0,-0.0906244616207355,-0.0412160868448499,-0.0652209547131722,-0.0402752586326722,-0.0563058943230539,-0.0941571837403956,-0.038676289084696,0.000302478127001571
9,0,-0.138392245206265,-0.118175937213226,-0.122667587470467,-0.0793545244295674,-0.0812906039436442,-0.165151281092386,-0.0986915015521819,-0.0704726394806366
10,0,-0.0994576845919405,-0.0609888841768974,-0.0698586905324247,-0.0515904115943341,-0.0505395291668662,-0.139076600900302,-0.0643144673622834,-0.0685575253205396
11,0,-0.0773198667317395,-0.0242641573518522,-0.0481796742506656,-0.027186503221488,-0.043755244933397,-0.0773904593123936,-0.0202158255921635,0.000345689844627906
12,0,-0.10732573024128,-0.0640482003042008,-0.0858327228203453,-0.0413089316044876,-0.0528167710904587,-0.11736086250726,-0.0636785997542667,-0.00920980098234092
13,0,-0.117050867938966,-0.0920353864405983,-0.102721519278552,-0.0581458698777014,-0.0615459344413827,-0.145931595100703,-0.0916509373089563,-0.0208104404526703
14,0,-0.118205406204631,-0.0955961731105577,-0.100712489599778,-0.0611652136924834,-0.0605509572569126,-0.158836418069969,-0.0967072222143918,-0.0509945918131418
15,0,-0.0952600402893556,-0.0640364779445278,-0.0706222214774219,-0.0473446542715357,-0.0447125901559842,-0.147371142834966,-0.0834683269482208,-0.0467636024261547
16,0,-0.0819202078275094,-0.0467425739698,-0.0544020719973862,-0.0429603002629086,-0.0389735309786958,-0.141238312918354,-0.076104669452013,-0.0532587665934856
17,0,-0.0799215505286923,-0.0434385634297888,-0.0520445927126685,-0.0469859762062177,-0.0429035862646054,-0.145832882547367,-0.0768163479738483,-0.0571727178056587
18,0,-0.0830177805231557,-0.0533108387103046,-0.0581113535633165,-0.0474947686574962,-0.0397491900961473,-0.141413050670529,-0.0740233743473158,-0.0859719898369599
19,0,-0.0861331294134476,-0.0650351601547614,-0.0668981770726548,-0.0616678374574507,-0.053872348135193,-0.172038178364074,-0.104662995796883,-0.0801849090789672
20,0,-0.077417051152755,-0.060405722912679,-0.0600754942872191,-0.0573092886880192,-0.0473808570351588,-0.162782413512205,-0.0976402731757328,-0.106444999061263
21,0,-0.0986221534573715,-0.0587658886969769,-0.0852821954145334,-0.0452540540080302,-0.0489849044731872,-0.107761635188347,-0.0696764643989829,-0.00388041690695384
22,0,-0.102995345777926,-0.0559401493933737,-0.0844397691903928,-0.0352935971029699,-0.0379732401501338,-0.112134582805845,-0.0678392470940788,-0.0133852303611872
23,0,-0.12767146942785,-0.116147961457884,-0.119181877991246,-0.0615837663946606,-0.0590303011156734,-0.175020025358282,-0.120872656396916,-0.0387942093924364
24,0,-0.116490301881393,-0.106487772817007,-0.108799453417548,-0.0633903685165411,-0.0599502138344317,-0.175326130650293,-0.12281407419908,-0.0455702819803075
25,0,-0.104952080852765,-0.0969872945071235,-0.0984071334510367,-0.064985935623166,-0.0607651430983095,-0.175534149475853,-0.124739737810204,-0.052583619204954
26,0,-0.093170079585388,-0.0877474468127762,-0.0881345604734067,-0.0664070844444232,-0.0615238837429416,-0.175677636174778,-0.126660409846709,-0.0598409951498278
27,0,-0.0768272541822789,-0.0639720516282138,-0.0676112618502249,-0.0578318437474814,-0.0518019370332962,-0.151956052749565,-0.0997873848648412,-0.0778619570920491
28,0,-0.0691513376048313,-0.0530713015518445,-0.0544825499920577,-0.0488145104309872,-0.0388045168085429,-0.141843770596829,-0.0832641611921837,-0.103514107271715
29,0,-0.0600235133545572,-0.0596605575281925,-0.0593290488589038,-0.0606672506098268,-0.0531698290108191,-0.150127149894981,-0.0968288376262001,-0.121188649349448
