x coordinate,y coordinate,z coordinate
136.875,61.875,11.2180473804474
135,61.875,13.0877219438553
136.875,60,13.0877219438553
136.875,63.75,11.2180473804474
135,63.75,13.0877219438553
136.875,65.625,11.2180473804474
135,65.625,13.0877219438553
136.875,67.5,13.0877219438553
138.75,61.875,13.0877219438553
138.75,63.75,13.0877219438553
138.75,65.625,11.2180473804474
138.75,67.5,11.2180473804474
138.75,69.375,13.0877219438553
140.625,65.625,13.0877219438553
140.625,67.5,11.2180473804474
140.625,69.375,13.0877219438553
140.625,73.125,11.2180473804474
138.75,73.125,13.0877219438553
140.625,71.25,13.0877219438553
140.625,75,11.2180473804474
138.75,75,13.0877219438553
140.625,76.875,11.2180473804474
138.75,76.875,13.0877219438553
140.625,78.75,13.0877219438553
142.5,67.5,13.0877219438553
142.5,73.125,11.2180473804474
142.5,71.25,13.0877219438553
142.5,75,11.2180473804474
142.5,76.875,11.2180473804474
142.5,78.75,13.0877219438553
144.375,73.125,11.2180473804474
144.375,71.25,13.0877219438553
144.375,75,11.2180473804474
144.375,76.875,11.2180473804474
144.375,78.75,11.2180473804474
144.375,80.625,13.0877219438553
146.25,73.125,11.2180473804474
146.25,71.25,13.0877219438553
146.25,75,11.2180473804474
146.25,76.875,11.2180473804474
146.25,78.75,13.0877219438553
148.125,73.125,13.0877219438553
148.125,75,13.0877219438553
148.125,76.875,13.0877219438553
125.625,54.375,13.0877219438553
123.75,54.375,14.9573965072632
125.625,52.5,14.9573965072632
125.625,56.25,14.9573965072632
127.5,54.375,13.0877219438553
127.5,52.5,14.9573965072632
127.5,56.25,13.0877219438553
127.5,58.125,14.9573965072632
127.5,63.75,13.0877219438553
125.625,63.75,14.9573965072632
127.5,61.875,14.9573965072632
127.5,65.625,13.0877219438553
125.625,65.625,14.9573965072632
127.5,67.5,14.9573965072632
129.375,54.375,13.0877219438553
129.375,52.5,14.9573965072632
129.375,56.25,13.0877219438553
129.375,58.125,13.0877219438553
129.375,60,14.9573965072632
129.375,63.75,13.0877219438553
129.375,61.875,14.9573965072632
129.375,65.625,13.0877219438553
129.375,67.5,14.9573965072632
131.25,54.375,14.9573965072632
131.25,56.25,14.9573965072632
131.25,58.125,13.0877219438553
131.25,60,14.9573965072632
131.25,63.75,13.0877219438553
131.25,61.875,14.9573965072632
131.25,65.625,13.0877219438553
131.25,67.5,13.0877219438553
131.25,69.375,13.0877219438553
129.375,69.375,14.9573965072632
131.25,71.25,13.0877219438553
129.375,71.25,14.9573965072632
131.25,73.125,13.0877219438553
129.375,73.125,14.9573965072632
131.25,75,14.9573965072632
133.125,56.25,13.0877219438553
133.125,54.375,14.9573965072632
133.125,58.125,13.0877219438553
133.125,60,13.0877219438553
133.125,61.875,13.0877219438553
133.125,63.75,13.0877219438553
133.125,65.625,13.0877219438553
133.125,67.5,13.0877219438553
133.125,69.375,13.0877219438553
133.125,71.25,13.0877219438553
133.125,73.125,13.0877219438553
133.125,75,14.9573965072632
