% RR interval,RV pressure (mmHg)
0,6.42641509433963
0,7.0377358490566
2.28571428571431,7.54716981132076
2.28571428571431,8.56603773584906
4.57142857142858,9.27924528301888
4.57142857142858,9.99245283018868
5.71428571428572,12.6415094339623
6.85714285714286,14.0679245283019
8,15.3924528301887
9.14285714285717,17.1245283018868
10.2857142857143,18.7547169811321
11.4285714285714,20.588679245283
11.4285714285714,22.5245283018868
12.5714285714286,24.4603773584906
12.5714285714286,25.8867924528302
13.7142857142857,27.7207547169811
13.7142857142857,28.5358490566038
14.8571428571429,29.2490566037736
14.8571428571429,31.2867924528302
14.8571428571429,31.6943396226415
17.1428571428572,32.3056603773585
20.5714285714286,32
21.7142857142857,31.4905660377358
21.7142857142857,30.1660377358491
22.8571428571429,29.7584905660378
25.1428571428572,26.8037735849057
26.2857142857143,24.9698113207547
27.4285714285714,23.8490566037736
28.5714285714286,22.2188679245283
30.8571428571429,20.8943396226415
30.8571428571429,20.0792452830189
33.1428571428572,19.2641509433962
36.5714285714286,18.5509433962264
37.7142857142857,17.9396226415094
38.8571428571429,16.8188679245283
41.1428571428571,15.2905660377358
42.2857142857143,13.4566037735849
43.4285714285714,11.8264150943396
45.7142857142857,11.1132075471698
46.8571428571429,9.58490566037737
48,8.97358490566039
49.1428571428571,7.64905660377359
50.2857142857143,6.73207547169811
52.5714285714286,6.22264150943397
53.7142857142857,5.30566037735849
58.2857142857143,4.69433962264151
61.7142857142857,4.89811320754717
66.2857142857143,5
68.5714285714286,5.20377358490566
72,5.20377358490566
76.5714285714286,5.50943396226415
81.1428571428572,5.91698113207548
86.8571428571429,5.91698113207548
93.7142857142857,5.91698113207548
97.1428571428572,6.63018867924528
99.4285714285714,7.13962264150943
