Patch Number,Myocardial work value
1,11.1707506752811
2,10.9512499388157
3,12.3639258078106
4,10.9612881796524
5,13.039615977139
6,11.8217599308685
7,12.5693522778012
8,12.8473271437502
9,11.9564397361644
10,12.9187588834872
11,12.2645482813319
12,11.6009178648275
13,10.3237480024545
14,13.4738073379459
15,12.7042249262249
16,12.9937508140988
17,12.8363549152718
18,12.8649232209375
19,12.8604317541796
20,10.8012115688008
21,10.4173075264167
22,13.3499759040215
23,13.278168255619
24,13.5513826679311
25,13.5697849912735
26,13.5585484413677
27,13.5130803021198
28,11.3004089116046
29,11.6422380547061
30,13.9492457586907
31,13.9030521996524
32,14.3544506170732
33,14.3327557594182
34,14.2801579332855
35,14.1920298224942
36,13.4087268683215
37,12.7474162217537
38,11.2519717511242
39,14.5568976181694
40,14.5357560304195
41,15.1859976057946
42,15.122920635182
43,15.0275351342034
44,14.8952150146725
45,14.721054872217
46,12.1651199312019
47,11.59954275326
48,15.1702687159194
49,15.173372173044
50,16.0433306552523
51,15.9377198054906
52,15.7982686777992
53,15.6203967678884
54,15.3992680377713
55,12.7119340393714
56,12.1009212691695
57,15.7867923088467
58,14.2507507531054
59,16.9235806906076
60,16.7744365584025
61,16.5898100562966
62,16.3652196482582
63,16.0959557283868
64,13.2844160593736
65,12.6275697643486
66,14.4424973866477
67,11.9159306573883
68,16.1575035208001
69,17.6302628320843
70,17.3995382189614
71,17.1272737214316
72,16.8089491135351
73,13.879402589029
74,13.1762838794743
75,13.3232364167178
76,17.1940585609009
77,18.5023688410706
78,18.2248253767217
79,17.9041546477482
80,17.5360944551503
81,14.4931786654051
82,13.6653556746054
83,17.446521369619
84,15.5046768148466
85,19.3879695062429
86,19.0630965168645
87,18.6935146982813
88,18.2752945982063
89,16.369854844915
90,14.5975912576576
91,14.1004090370534
92,15.7478964647519
93,12.9353468265003
94,18.046054516296
95,19.9118738768707
96,19.4930967230922
97,19.0245323397319
98,18.50282403987
99,14.1521814761525
100,14.9820488827734
101,11.6873825212269
102,16.0800451320062
103,18.4255815506937
104,20.3007434937239
105,19.7818698707016
106,17.3168761992457
107,14.5802593345861
108,14.0978269107246
109,16.3121672117544
110,17.2110596047367
111,16.9330507104222
112,14.8079227081338
113,16.8840490053076
114,15.9894961694766
115,17.7720127526824
116,17.4555120597981
117,18.0589910394513
118,8.13228934184109
119,6.89116762466061
120,8.11014049885549
121,6.55958571759024
122,8.43284931357081
123,7.00226259462894
124,7.62140719931781
125,7.65119305197176
126,7.07761744547749
127,7.25454420762431
128,8.46249326893896
129,7.41184374196845
130,7.24444040999033
131,6.96330221554367
132,7.46528094440653
133,7.85677404926477
134,8.52570829081778
135,7.2061900044536
136,6.77279602288366
137,7.23089649790116
138,7.39217647275798
139,7.71715080097854
140,8.12138542103352
141,9.21043644698645
142,8.97336267098575
143,8.53419342901553
144,8.12798902942815
145,7.81489666082061
146,8.4061767510783
147,7.86329726069739
148,8.16357970419284
149,8.4415659051723
150,8.69360866705678
151,7.82194818759446
152,7.60056999354824
153,9.00619678031878
154,9.4716656560466
155,8.37674048760098
156,8.65036537892528
157,8.90188036704652
158,9.1275903765817
159,8.1002750925979
160,7.50247999323663
161,10.3488957122749
162,9.64727638485015
163,9.22540271533512
164,8.93236527152536
165,9.17747903159934
166,9.40051285573575
167,9.59772028524763
168,8.41132081103807
169,9.4886418179249
170,9.72324031705007
171,10.1764508936249
172,9.2962046996888
173,9.52978860164783
174,9.74464596892052
175,9.93729139882819
176,10.1039236470309
177,10.1253008391629
178,10.1647809496999
179,10.0312957621562
180,10.2936499803653
181,10.6471952683549
182,9.96638794091003
183,10.1683594966158
184,10.3513193278571
185,10.5117678082548
186,10.6458464711952
187,10.5103647467696
188,10.5772673998257
189,9.3578164559926
190,10.8905723214751
191,11.1281184898641
192,10.678145844112
193,10.8471344566698
194,9.06918417645346
195,10.184897289469
196,11.5110069443664
197,11.6148023135013
198,11.4301175660514
199,11.2292246765906
200,10.0647722614418
201,12.1517449732207
202,12.1028399909416
203,10.1599499519787
204,9.65898641429281
205,12.8094082801075
206,12.5879429199846
207,10.0342420677556
208,10.92436880137
209,13.4804902436291
210,11.9786647486602
211,12.0305447454473
212,11.4832805656289
213,14.1613943937786
214,12.4176530448518
215,12.7671018689663
216,12.0182777954195
217,8.94605119746591
218,14.8484665990016
219,12.8379103890349
220,13.9770276265886
221,11.2261219437123
222,8.21578511313357
223,13.4194679711144
224,10.6911841721829
225,14.5119163168539
226,11.6489661156022
227,10.0132009383138
228,10.657472836231
229,15.0619475653497
230,12.0947233151313
231,11.2052344218925
232,12.5474386170334
233,15.4671737752576
234,12.5604809811377
235,11.6244351434408
236,15.4895967543017
237,13.0429086724434
238,12.0602714569703
239,12.7621945245107
240,13.53833305677
241,12.5091617005732
242,10.3985591897059
243,17.3825983303893
244,14.042836902409
245,12.9673246778541
246,13.2254691083553
247,17.9849859697076
248,14.5523830547654
249,11.1616783929473
250,15.6016331114915
251,13.1687700448431
252,19.3729140784704
253,16.7482219611869
254,13.1809257487166
255,10.6097363311654
256,11.7558561119107
257,16.7283590643316
258,17.7442222127803
259,17.4071935287607
260,17.0063151576606
261,15.7923526726372
262,15.2653001213615
263,13.3736530296251
264,12.4250585461686
265,14.2332826899013
266,14.0962240307465
267,13.8951598901349
268,14.6018382021665
269,7.45608709099611
270,6.35379922521659
271,6.72917923578377
272,6.1360079187697
273,6.12515379732722
274,6.00514130525999
275,7.08901868128775
276,6.33631222411231
