Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,1,0
0.019962,-0.003776473,-0.002408426,-0.001395439,-0.01223242,0
0.039924,-0.01063363,-0.004584411,-0.002878911,-0.8340979,0
0.059886,-0.02424435,-0.006593131,-0.003622048,-0.9235474,0
0.079848,-0.04469988,-0.008878415,-0.003196046,-0.9235474,0
0.09981,-0.0670893,-0.01189556,-0.001990346,-0.8470948,0
0.119772,-0.08436956,-0.01573067,-0.000771135,-0.8470948,0
0.139734,-0.09240761,-0.02010474,-7.26e-05,-0.8470948,0
0.159696,-0.09333219,-0.02463673,-8.41e-05,-0.7989297,0
0.179658,-0.0932828,-0.02918844,-0.000758279,-0.7706422,0
0.19962,-0.09573142,-0.0339609,-0.001802759,-0.7706422,0
0.219582,-0.09906443,-0.03914409,-0.002769356,-0.7706422,0
0.239544,-0.1016064,-0.04440394,-0.00321341,-0.7706422,0
0.259506,-0.1042571,-0.04878461,-0.00278327,-0.7706422,0
0.279468,-0.1071664,-0.05126326,-0.001495992,-0.7706422,0
0.29943,-0.1086349,-0.05141252,1.97e-05,-0.7706422,0
0.319392,-0.1064461,-0.04964186,0.000985472,-0.7706422,1
0.339354,-0.09800888,-0.04679364,0.001228517,-0.7706422,0
0.359316,-0.08185946,-0.04340403,0.001222328,-0.7706422,0
0.379278,-0.05870737,-0.03979244,0.001612472,-0.7706422,0
0.39924,-0.03040579,-0.03656348,0.002922151,-0.7706422,0
0.419202,-0.000169498,-0.03406166,0.005218915,-0.7706422,0
0.439164,0.02748639,-0.03183125,0.007741206,-0.7706422,0
0.459126,0.04846547,-0.02921175,0.009327854,-0.7706422,0
0.479088,0.06058891,-0.02597889,0.00935451,-0.7706422,0
0.49905,0.06459824,-0.02239016,0.008002201,-0.7706422,0
0.519012,0.06352225,-0.01898086,0.005770806,-0.7706422,0
0.538974,0.06115506,-0.01637923,0.002999798,-0.7706422,0
0.558936,0.0608483,-0.01505193,4.11e-05,-0.7706422,0
0.578898,0.06267959,-0.0148534,-0.00241884,-0.7706422,0
0.59886,0.0628898,-0.01485952,-0.003687252,-0.6941896,0
0.618822,0.05926379,-0.01394327,-0.003483231,-0.6941896,0
0.638784,0.05424967,-0.01165826,-0.002073311,-0.6941896,0
0.658746,0.05147362,-0.00840399,-0.00033421,-0.7920489,0
0.678708,0.05189595,-0.004827751,0.000737739,-0.8470948,0
0.69867,0.05251943,-0.001537107,0.000857593,-0.8470948,0
0.718632,0.04845579,0.000643924,0.000669039,-0.8470948,0
0.738594,0.03756166,0.000996791,0.000877492,-0.9556575,0
0.758556,0.02098686,0.000145957,0.001033607,-0.1934251,0
0.778518,-5.2e-17,-2.69e-17,1.04e-17,0.8730887,0
