Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,0.4146341,0
0.02330022,-0.01694822,-0.006377309,-0.008492805,0.9512196,0
0.04660044,-0.03694209,-0.005428805,-0.008368675,0.8536586,0
0.06990066,-0.05485349,-0.001276921,-0.004551981,0.7073171,0
0.09320088,-0.07010936,0.000358322,-0.000906442,0.6097561,0
0.1165011,-0.08432569,-0.002060845,0.00138568,0.5609756,0
0.1398013,-0.09750182,-0.006140078,0.002784173,0.6097561,0
0.1631016,-0.1082209,-0.008942246,0.003712532,0.6126829,0
0.1864018,-0.11606,-0.008782996,0.003468178,0.6097561,0
0.209702,-0.1205884,-0.004813138,0.001069097,0.5121951,0
0.2330022,-0.1174541,0.002781156,-0.004052593,0.3170732,0
0.2563024,-0.1011853,0.01116656,-0.01269185,0.1219512,0
0.2796026,-0.07490858,0.0151384,-0.02553945,0.02439022,1
0.3029029,-0.05111559,0.0105472,-0.04107516,0.07317078,0
0.3262031,-0.04217772,-0.001524501,-0.05464005,0.124878,0
0.3495033,-0.05232203,-0.01409763,-0.06113888,0.1219512,0
0.3728035,-0.07324596,-0.0202483,-0.05877009,0.124878,0
0.3961038,-0.08852262,-0.01949203,-0.04923157,0.07317078,0
0.419404,-0.08779253,-0.01557673,-0.03502233,0.07317078,0
0.4427042,-0.07357784,-0.0105334,-0.01798154,0.1736585,0
0.4660044,-0.05360884,-0.004372467,-0.000191502,0.2195122,0
0.4893046,-0.03280686,0.002128128,0.0153954,0.2224391,0
0.5126049,-0.01407751,0.007530225,0.026714,0.2195122,0
0.5359051,-0.001005566,0.01118576,0.03417349,0.1736585,0
0.5592053,0.004724697,0.0127558,0.03912701,0.1219512,0
0.5825055,0.006105722,0.01153031,0.04222289,0.1707317,0
0.6058058,0.007591293,0.007407712,0.04420868,0.2195122,0
0.629106,0.01029614,0.001722653,0.04604765,0.2682927,0
0.6524062,0.01186624,-0.003479874,0.04726975,0.3170732,0
0.6757064,0.01017436,-0.006713252,0.04556937,0.1707317,0
0.6990066,0.005832754,-0.007150562,0.03800699,-0.3658537,0
0.7223068,0.001691707,-0.004315721,0.02243736,-0.9756098,0
0.7456071,0,0,0,-0.8536586,0
