Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.6111277,0
0.01460692,0.01273093,-0.005220915,-0.00505466,0.7212085,0
0.02921384,0.01811649,-0.009105433,-0.009416521,0.8845348,0
0.04382075,0.01428522,-0.0109237,-0.01240134,1,0
0.05842767,0.003678143,-0.01179179,-0.01452397,0.891714,0
0.07303459,-0.009522697,-0.01293582,-0.01642715,0.8845348,0
0.08764151,-0.02219412,-0.01441662,-0.01869555,0.880347,0
0.1022484,-0.0332155,-0.01552369,-0.02182449,0.8175292,0
0.1168553,-0.04307862,-0.0161026,-0.0254936,0.7690697,0
0.1314623,-0.05295516,-0.01703175,-0.02830154,0.7050554,0
0.1460692,-0.06363204,-0.01895241,-0.02864056,0.7050554,0
0.1606761,-0.07487728,-0.02163178,-0.02594048,0.7648818,0
0.175283,-0.08594587,-0.0247571,-0.02128457,0.7158241,0
0.1898899,-0.09633283,-0.02816261,-0.01686559,0.7648818,0
0.2044969,-0.1059025,-0.03136992,-0.01433779,0.8247083,0
0.2191038,-0.1139591,-0.0337492,-0.01356736,0.7648818,0
0.2337107,-0.1186844,-0.03491699,-0.01333822,0.708645,0
0.2483176,-0.1193674,-0.03458537,-0.01306028,0.7050554,0
0.2629245,-0.1180875,-0.03272418,-0.01320469,0.6488184,0
0.2775314,-0.1177126,-0.02990875,-0.01444155,0.6452289,0
0.2921384,-0.1188813,-0.02687112,-0.01721322,0.6189052,0
0.3067453,-0.1185557,-0.02430712,-0.02138455,0.4699372,0
0.3213522,-0.1125963,-0.02315842,-0.02555585,0.4095124,0
0.3359591,-0.1008852,-0.02389556,-0.02788987,0.4095124,1
0.350566,-0.08804211,-0.02534945,-0.0281038,0.4059228,0
0.365173,-0.07857459,-0.0250427,-0.02784184,0.4657494,0
0.3797799,-0.07213636,-0.02127515,-0.0286363,0.5148071,0
0.3943868,-0.06419665,-0.01481724,-0.02980574,0.5255759,0
0.4089937,-0.05238947,-0.007909231,-0.02943491,0.4657494,0
0.4236006,-0.03957607,-0.001788977,-0.0271963,0.4657494,0
0.4382075,-0.02850328,0.003674317,-0.02415607,0.5255759,0
0.4528145,-0.01842691,0.00828464,-0.02043085,0.5213879,0
0.4674214,-0.008757639,0.0111611,-0.01584914,0.5297637,0
0.4820283,-0.001027166,0.0123235,-0.01188782,0.5255759,0
0.4966352,0.003360712,0.01339492,-0.01028615,0.5854024,0
0.5112422,0.004633565,0.01587134,-0.01066242,0.5818127,0
0.525849,0.004107189,0.01946908,-0.01142974,0.532755,0
0.540456,0.002941221,0.02302849,-0.01221584,0.5889919,0
0.5550629,0.0020037,0.02539844,-0.01354652,0.6452289,0
0.5696698,0.002533157,0.02499222,-0.01523842,0.5818127,0
0.5842767,0.004660256,0.02122272,-0.01676585,0.532755,0
0.5988836,0.006849024,0.01573404,-0.01781563,0.4723302,0
0.6134906,0.008484607,0.01045274,-0.01767379,0.4657494,0
0.6280975,0.01018726,0.006480915,-0.01549195,0.5255759,0
0.6427044,0.01237667,0.004257222,-0.01128363,0.5345498,0
0.6573113,0.01539084,0.002835442,-0.00592671,0.5094227,0
0.6719182,0.01867675,0.000764333,-0.000732619,0.9371822,0
0.6865252,0.01910567,-0.001572836,0.002672673,0.9443613,0
0.7011321,0.01295327,-0.002096131,0.00292364,-0.8408615,0
0.715739,2.78e-17,-3.61e-16,-4.34e-18,-0.9539336,0
