Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,0.8487116,0
0.01627451,-0.007041292,-0.004866645,-0.002051318,0.8337489,0
0.03254902,-0.0124067,-0.0101518,-0.005662855,-0.2468828,0
0.04882353,-0.02460199,-0.0194886,-0.01047224,-1,0
0.06509804,-0.04164703,-0.03070355,-0.01457164,-0.9118869,0
0.08137255,-0.06265282,-0.04284759,-0.01626929,-0.8287615,0
0.09764706,-0.08678467,-0.05588969,-0.01548273,-0.7456359,0
0.1139216,-0.1121846,-0.06897265,-0.01265445,-0.6625104,0
0.1301961,-0.1374,-0.08058767,-0.007607081,-0.6625104,0
0.1464706,-0.1604821,-0.08960384,-0.000758032,-0.6625104,0
0.1627451,-0.1781449,-0.0962584,0.006026938,-0.6625104,0
0.1790196,-0.1889107,-0.1025189,0.01099385,-0.5793849,0
0.1952941,-0.1949684,-0.1103011,0.01366849,-0.5793849,0
0.2115686,-0.1994277,-0.1197033,0.01422662,-0.5793849,0
0.2278431,-0.2029232,-0.129763,0.01294467,-0.5793849,0
0.2441176,-0.2037626,-0.139938,0.01007639,-0.4962593,0
0.2603922,-0.2013582,-0.1500932,0.00552204,-0.4131339,0
0.2766667,-0.1979533,-0.1598398,-0.000619543,-0.4131339,0
0.2929412,-0.1965697,-0.1684574,-0.006871561,-0.4131339,0
0.3092157,-0.1984587,-0.1751504,-0.01083595,-0.4962593,0
0.3254902,-0.2025274,-0.1793514,-0.01089482,-0.4962593,0
0.3417647,-0.2076109,-0.1808423,-0.006752859,-0.4912718,0
0.3580392,-0.2141515,-0.180104,0.00111263,-0.4912718,1
0.3743137,-0.2211888,-0.178673,0.01184676,-0.4962593,0
0.3905882,-0.2246882,-0.1778751,0.02426293,-0.4962593,0
0.4068627,-0.2224356,-0.1772611,0.03591768,-0.4962593,0
0.4231372,-0.2171357,-0.1752999,0.04270703,-0.5793849,0
0.4394118,-0.2129211,-0.1710974,0.04167744,-0.5793849,0
0.4556863,-0.2131875,-0.1649651,0.03348544,-0.4962593,0
0.4719608,-0.2196482,-0.1572028,0.0211852,-0.4962593,0
0.4882353,-0.2275923,-0.1464628,0.009007039,-0.4912718,0
0.5045098,-0.2271926,-0.1309165,0.001392936,-0.4862843,0
0.5207843,-0.2137378,-0.1109164,0.000228729,-0.5793849,0
0.5370588,-0.1905445,-0.08848993,0.004072733,-0.5694098,0
0.5533333,-0.1632883,-0.06512433,0.01057849,-0.4962593,0
0.5696079,-0.1364631,-0.04184458,0.0178663,-0.4962593,0
0.5858824,-0.1101912,-0.02095679,0.02393007,-0.4962593,0
0.6021569,-0.08064574,-0.005856704,0.02645183,-0.4962593,0
0.6184314,-0.04795748,0.002047111,0.02391656,-0.4912718,0
0.6347059,-0.01932513,0.004362579,0.01698824,-0.7456359,0
0.6509804,-0.002700664,0.003220745,0.00825672,0.3349959,0
0.6672549,0,0,0,0.9310058,0
