Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-1,0
0.019052,-0.006805708,-0.001900937,-0.003099266,-0.1536185,0
0.038104,-0.006661689,-0.0041978,-0.007817918,0.4995965,0
0.057156,-5.23e-05,-0.007719631,-0.0131918,0.5862255,0
0.076208,0.007583633,-0.01317653,-0.01904244,0.6233522,0
0.09526,0.01064678,-0.02063292,-0.02507596,0.5695454,0
0.114312,0.00939261,-0.02872717,-0.03067701,0.5157385,0
0.133364,0.007801155,-0.03569252,-0.03558506,0.5157385,0
0.152416,0.007597284,-0.04131303,-0.03952355,0.5157385,0
0.171468,0.00830909,-0.04669784,-0.04211536,0.4619317,0
0.19052,0.01025773,-0.05253616,-0.04373733,0.4081248,0
0.209572,0.01361531,-0.05835452,-0.04561098,0.354318,0
0.228624,0.01713018,-0.06297238,-0.04877936,0.3005111,0
0.247676,0.02045227,-0.06469543,-0.05321347,0.354318,0
0.266728,0.02560204,-0.06185712,-0.0575757,0.4635459,0
0.28578,0.03397351,-0.05550875,-0.05947841,0.6039817,1
0.304832,0.04374286,-0.04958334,-0.05641492,0.677159,0
0.323884,0.05190016,-0.04617977,-0.04738297,0.677159,0
0.342936,0.05698555,-0.04394003,-0.03410297,0.677159,0
0.361988,0.05953448,-0.04140252,-0.0200896,0.6233522,0
0.38104,0.06158501,-0.03892833,-0.008173736,0.6233522,0
0.400092,0.06514884,-0.03737328,0.000720124,0.6233522,0
0.419144,0.07032952,-0.03670345,0.006823374,0.5716976,0
0.438196,0.07599274,-0.03641336,0.01052239,0.5157385,0
0.457248,0.08157878,-0.03608854,0.0125425,0.5157385,0
0.4763,0.08631308,-0.0355166,0.01463086,0.5695454,0
0.495352,0.08807333,-0.03474005,0.01876447,0.7874629,0
0.514404,0.08532302,-0.03373298,0.0252771,0.9456551,0
0.533456,0.07911494,-0.03253693,0.03251735,1,0
0.552508,0.07157613,-0.03142025,0.03868075,0.7099812,0
0.57156,0.06308813,-0.03037915,0.04325986,0.3699219,0
0.590612,0.05259663,-0.0291967,0.04606005,0.2467043,0
0.609664,0.04095092,-0.02756935,0.04596941,0.2467043,0
0.6287161,0.03118867,-0.02416939,0.04168893,0.2467043,0
0.647768,0.02420659,-0.01718964,0.03307044,0.1928974,0
0.66682,0.01781698,-0.007651143,0.02224782,0.2467043,0
0.685872,0.01095004,0.000324085,0.01296526,0.4463277,0
0.704924,0.00530076,0.003810555,0.007252492,0.3360237,0
0.723976,0.00211753,0.003068134,0.003845729,-0.9278988,0
0.743028,-4.16e-17,1.04e-17,-6.94e-18,-0.9284369,0
