Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,1,0
0.019973,-0.01502601,0.008047659,-0.003627485,0.1099585,0
0.039946,-0.02871065,0.0149999,-0.005105179,-0.7634855,0
0.059919,-0.03848264,0.0165894,-0.005685877,-1,0
0.07989199,-0.04515006,0.008913433,-0.007199584,-1,0
0.09986499,-0.05236224,-0.008091444,-0.01021597,-1,0
0.119838,-0.06366663,-0.03098683,-0.01381491,-1,0
0.139811,-0.07907943,-0.05630376,-0.01688019,-1,0
0.159784,-0.09369617,-0.08182079,-0.01892146,-1,0
0.179757,-0.1030112,-0.1060807,-0.01964927,-1,0
0.19973,-0.1078173,-0.1282468,-0.01867162,-0.9308437,0
0.219703,-0.1108605,-0.1475865,-0.01613641,-0.9308437,0
0.239676,-0.1126967,-0.1631357,-0.01260601,-0.9308437,0
0.259649,-0.1128977,-0.1743686,-0.008004913,-0.9308437,0
0.279622,-0.1114568,-0.1818315,-0.002255788,-0.8616874,0
0.299595,-0.1081542,-0.1870607,0.00342605,-0.8616874,0
0.319568,-0.1025312,-0.1923125,0.007626752,-0.7925311,0
0.339541,-0.09417272,-0.1997726,0.01003566,-0.7233748,0
0.359514,-0.08288617,-0.2099413,0.01054272,-0.7233748,0
0.379487,-0.06885006,-0.2205899,0.008858261,-0.7233748,1
0.39946,-0.05347892,-0.2274833,0.005673595,-0.7925311,0
0.419433,-0.04229546,-0.2268474,0.002538564,-0.7925311,0
0.439406,-0.042032,-0.2177318,0.000396857,-0.8616874,0
0.459379,-0.05078102,-0.2021842,-0.000739026,-0.8616874,0
0.479352,-0.05823679,-0.1835956,-0.001180095,-0.7925311,0
0.499325,-0.05752237,-0.1648978,-0.001274433,-0.7925311,0
0.519298,-0.05022418,-0.1481712,-0.000967557,-0.7925311,0
0.5392709,-0.04044381,-0.1347631,0.000373868,-0.8616874,0
0.559244,-0.03008382,-0.1242416,0.002984006,-0.9716459,0
0.579217,-0.02016252,-0.1139801,0.006034219,-0.8360996,0
0.5991899,-0.01180265,-0.100933,0.008507021,-0.7233748,0
0.619163,-0.004658587,-0.08410327,0.01007318,-0.7233748,0
0.639136,0.002694823,-0.06535999,0.01071163,-0.7233748,0
0.6591089,0.009779006,-0.04755664,0.01018922,-0.7233748,0
0.679082,0.01401599,-0.03231421,0.008388372,-0.7925311,0
0.699055,0.01351577,-0.01979499,0.005679823,-0.7856155,0
0.7190279,0.008263052,-0.009323657,0.002700843,0.4142462,0
0.739001,-1.56e-17,-3.9e-18,-2.78e-17,0.9591978,0
