Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.4789762,0
0.0215,-0.00085151,-0.01577287,0.001222828,0.5606338,0
0.043,-0.000369852,-0.03300611,0.004075122,0.6953077,0
0.0645,-0.000357184,-0.05176276,0.003625764,0.6953077,0
0.086,-0.002009504,-0.07015631,-0.000409835,0.6953077,0
0.1075,-0.005451107,-0.08548512,-0.006741356,0.7562462,0
0.129,-0.01004208,-0.09672975,-0.01314808,0.7562462,0
0.1505,-0.0152941,-0.1046966,-0.01790801,0.8129189,0
0.172,-0.02077111,-0.1098684,-0.02078789,0.878123,0
0.1935,-0.02525044,-0.1122753,-0.02241653,0.9433272,0
0.215,-0.02688468,-0.1133947,-0.02328957,1,0
0.2365,-0.02490027,-0.1153745,-0.02382198,0.9268738,0
0.258,-0.02037687,-0.1189599,-0.02444825,0.7397928,0
0.2795,-0.01511218,-0.1233635,-0.02511751,0.5734308,0
0.301,-0.01044802,-0.126499,-0.02540658,0.5124924,1
0.3225,-0.006263078,-0.1252789,-0.02528362,0.4515539,0
0.344,-0.000852488,-0.1172809,-0.02496542,0.5124924,0
0.3655,0.006447508,-0.1026681,-0.02413717,0.5124924,0
0.387,0.01405412,-0.08411425,-0.02227984,0.5545399,0
0.4085,0.02163236,-0.06459478,-0.0195752,0.8561852,0
0.43,0.03080809,-0.04585387,-0.01668584,0.8336381,0
0.4515,0.04029904,-0.02906758,-0.0140058,0.4582572,0
0.473,0.04562237,-0.01551313,-0.01161921,0.3906155,0
0.4945,0.04543743,-0.005340755,-0.009607988,0.4533821,0
0.516,0.04374053,0.002952159,-0.008091002,0.4460695,0
0.5375,0.04407275,0.01024703,-0.006977454,0.329677,0
0.559,0.04482678,0.01600678,-0.005746222,0.329677,0
0.5805,0.04335561,0.01964302,-0.003923578,0.3906155,0
0.602,0.04090204,0.02045068,-0.002014434,0.3906155,0
0.6235,0.03877913,0.01793754,-0.001154211,0.5399147,0
0.645,0.03354968,0.01289701,-0.001378251,0.3278489,0
0.6665,0.02035212,0.006704152,-0.001301384,-0.4771481,0
0.688,0,0,0,-1,0
