Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
88,0,0.107694614141714,0.0476442079411001,-0.0989192614360094,-0.155103381724755,-0.137219021213111,-0.240387009997747,-0.339351989420499,-0.173556109262196,-0.177916281417426,-0.0431220836440095
89,0,0.027755906152322,-0.000964947317595333,-0.248508577944159,-0.276335286002509,-0.405777109408611,-0.382785152304674,-0.340056261507712,-0.259569996438042,-0.149712838237161,-0.101577290222899
90,0,0.069541060252581,0.0387361521920997,-0.212845959489659,-0.243484986348972,-0.39266170226786,-0.351688350319366,-0.353196265722267,-0.260681687426485,-0.127964370802505,-0.0721880258317935
91,0,0.019151697164707,0.0133446705736779,-0.250654959115127,-0.269452530796438,-0.397247916428214,-0.371471539658048,-0.342744970843807,-0.263746884659633,-0.141534010161225,-0.0793567890694524
92,0,-0.000809466584602569,0.00564706665715775,-0.283533621023219,-0.276266943431844,-0.476845021581576,-0.388736033947625,-0.344416025229183,-0.267250814121454,-0.14588933183146,-0.0801293587599669
93,0,0.08983615775109,0.043746823419557,-0.119889635620725,-0.178830672966906,-0.130788259281181,-0.23588690943559,-0.291632085323296,-0.163371170010554,-0.176092989176798,-0.0744871467746132
94,0,0.0724742953809281,0.0522634627043466,-0.205477883908373,-0.22448092816477,-0.377416002633325,-0.343241558396449,-0.35360556566117,-0.242044154437553,-0.127791607987998,-0.0604036814175732
95,0,0.0849419134694107,0.0515081923860776,-0.189651767548533,-0.222078362390396,-0.366402293104009,-0.341895831162449,-0.363776043731835,-0.250433428759657,-0.119543201017852,-0.0661748377349997
96,0,0.0489568903580426,0.0513234568431078,-0.251376895421064,-0.238211321173637,-0.458188045142114,-0.345497987188575,-0.363202921043595,-0.263929746059106,-0.129794996345343,-0.0488734702614246
97,0,0.0418404706326096,0.0496044858432616,-0.260251625264551,-0.234252654231042,-0.462388219496715,-0.347976504296408,-0.361885550400742,-0.260003057849398,-0.137107301910039,-0.0462265708377738
98,0,0.0804206019114067,0.0495620530544036,-0.145263341590634,-0.181949175962338,-0.169639978129911,-0.236943149182393,-0.274513803988615,-0.15893313191959,-0.163639832811863,-0.081456929008991
99,0,0.0720269361741164,0.0493054719522732,-0.205611792715183,-0.221380242499528,-0.371664926643703,-0.338213509741433,-0.360088396301539,-0.239281474480763,-0.12702033069821,-0.0638405333863302
100,0,0.0536843371019398,0.0128050986894468,-0.21811890846624,-0.252709277742817,-0.380064460394425,-0.362387605435499,-0.359305813674268,-0.260734625257134,-0.132364941625432,-0.0951667331817794
101,0,0.0530844828562187,0.0494130716924921,-0.248940363511706,-0.234243913207857,-0.453672680812941,-0.342395015906887,-0.37407240882683,-0.265143752380297,-0.130900696709704,-0.053943506201961
102,0,0.0848112895531028,0.0376035515360071,-0.1322637822112,-0.185551106983245,-0.118731566215497,-0.222232414697816,-0.288603736054676,-0.162800424988445,-0.172093578768136,-0.0869772576889151
103,0,0.0322192761343236,-0.00876262979430431,-0.237297841492381,-0.269642872276723,-0.390425912429808,-0.371280121803981,-0.353722585995358,-0.260765297329973,-0.138711077871096,-0.110552021204138
104,0,0.071858333909061,0.0289022885041685,-0.186618597019393,-0.224236943779035,-0.335936810396232,-0.344999504911873,-0.351780264806276,-0.231813685069894,-0.12139050064968,-0.090054575917358
105,0,0.0512970723457964,0.0320960023398671,-0.231085205085518,-0.240150617257633,-0.41824360593679,-0.347663898495333,-0.374279062780996,-0.262474647268715,-0.127034837648615,-0.0735100099054363
106,0,0.0796729811746075,0.0342605399311338,-0.148637726445427,-0.198416088456606,-0.115386285439848,-0.214456502718466,-0.256204822338417,-0.161554893486187,-0.166636595784847,-0.103502373109186
107,0,0.0834779390477955,0.0447951340228627,-0.195528161555673,-0.202703737432862,-0.369403406501877,-0.332602789422592,-0.359517211075541,-0.223231534373839,-0.0952467387447826,-0.0641461292709452
108,0,0.0705525426749001,0.0327153504888644,-0.179440888083389,-0.213989559679618,-0.353770656648835,-0.340708977655056,-0.374847062353468,-0.245600593315582,-0.101615118788432,-0.0804099287865604
109,0,0.0695194031899538,0.0261984532562669,-0.156455553733937,-0.185402844514265,-0.118448886144823,-0.225429759275058,-0.317641089288515,-0.187651988595235,-0.172703051521656,-0.0763154261608769
110,0,0.0814434337658234,0.0385813714716665,-0.185226165444083,-0.196690994017604,-0.340549725649861,-0.313066458835458,-0.364575765141495,-0.215270204520937,-0.0990114120996252,-0.0717352659776489
111,0,0.0625554968561937,0.0320223803525108,-0.202892566523924,-0.210452585561622,-0.339905606212732,-0.308303122527979,-0.365408574355496,-0.214380475047626,-0.12235750593461,-0.074839815333872
112,0,0.0641171299306023,0.0243089126815532,-0.216108881440958,-0.221752629831567,-0.191813144427956,-0.271221277260478,-0.308672128479429,-0.247442471901649,-0.18792453745933,-0.0980174963589584
113,0,0.065281206436941,0.0231454265980358,-0.187513108174661,-0.205741889330319,-0.153414359220672,-0.229862740037295,-0.279806352886079,-0.193481703808555,-0.171654874778223,-0.0990558451735284
114,0,0.0568370307238939,0.0259575750578116,-0.201942781845471,-0.206581340301768,-0.332437421358382,-0.29888748348677,-0.363938245602259,-0.205492182420372,-0.121779843172221,-0.078257209777632
115,0,0.0690886208694235,0.0295377073174241,-0.178801930483238,-0.198020770166217,-0.313558609091915,-0.291116100847524,-0.369292375430575,-0.208151146406549,-0.114045062468879,-0.084476755883458
116,0,0.0566698384266517,0.0325330483471205,-0.231822683289094,-0.214289034378722,-0.413455891065296,-0.312183597449638,-0.398180381847827,-0.249559037794405,-0.133463056876028,-0.0746516797030208
117,0,0.0504295589536605,0.0272441276955102,-0.241989402274198,-0.213972681010686,-0.418111721684816,-0.313794988700576,-0.397323534433027,-0.246572074609199,-0.14017917829852,-0.0735712946376506
118,0,0.0885219177334053,0.0356844727820114,-0.238378528015687,-0.216934424871884,-0.264582758342229,-0.272048840864476,-0.29940509500845,-0.244135244849835,-0.172088838972624,-0.0945572852286484
119,0,0.0976512000026564,0.034306297734273,-0.168855147719486,-0.200049238387538,-0.0891322172745832,-0.197159030842817,-0.231826458182319,-0.194440146462865,-0.181074982436395,-0.114131442647882
120,0,0.049183964499141,0.0172344573433205,-0.200121687398432,-0.202486865171749,-0.319541481603151,-0.284694220209118,-0.359151000351278,-0.19185844347313,-0.120285335046169,-0.0819101646046724
121,0,0.0612645200515753,0.0217545136814128,-0.175651414344636,-0.192671123269052,-0.299474561032123,-0.275632027417571,-0.363318746360772,-0.193255015092651,-0.112813046270546,-0.0880537798542461
122,0,0.053632148298796,0.0259056893805105,-0.226027276759233,-0.208545075844627,-0.399267974989168,-0.300565808244069,-0.399267341917221,-0.241070746063642,-0.133976310816166,-0.0797442998685617
123,0,0.0449751293248903,0.0194693886060073,-0.23982657226589,-0.20977983917712,-0.407265455234582,-0.303239284176068,-0.397364718459349,-0.237791851866738,-0.14182270585026,-0.0782087004774535
124,0,0.101238232051708,0.0367147109951098,-0.228614749157997,-0.212619202134203,-0.257771458515117,-0.261046086203085,-0.299623615605978,-0.245924580867109,-0.168858460569299,-0.103111911599483
125,0,0.143090263673609,0.0490242037083199,-0.20202592527261,-0.213818393659457,-0.120798329757067,-0.216003665454287,-0.208706805420156,-0.249720712787831,-0.196215370507109,-0.130536750045446
126,0,0.0711764022179615,0.01518713583884,-0.197643081919383,-0.185353902626431,-0.31824131398171,-0.279549487097034,-0.351088583718991,-0.173778555338105,-0.102579161774826,-0.0751121278395581
127,0,0.0770000830634809,0.0166336725689575,-0.175706198448352,-0.175312231306447,-0.302123894509701,-0.272467511826158,-0.3542080269279,-0.173125243258874,-0.0940342166754254,-0.0807937536995823
128,0,0.113132144480571,0.0303284492350411,-0.23014952697823,-0.190308923575536,-0.424949445781253,-0.301471922164732,-0.361273866866542,-0.224287083707958,-0.114745642866937,-0.0757916001592087
129,0,0.131039617648701,0.0369612219399482,-0.226264262265962,-0.198016207485144,-0.313397675650047,-0.270749473351209,-0.305825346694739,-0.236474351392907,-0.145387762835206,-0.0948958573058424
130,0,0.165174113144148,0.0549096209632325,-0.191495827185596,-0.204204256927926,-0.119684845654188,-0.202891233360975,-0.204290197295615,-0.254491724211774,-0.195007575176479,-0.1388970875429
131,0,0.105047659545362,0.0190432316263127,-0.197615162580772,-0.17313410944856,-0.348471444710317,-0.278143376806115,-0.34708310239151,-0.182914079058686,-0.0977056056848127,-0.0783313368057701
132,0,0.160950097743238,0.0370665789884213,-0.216340464907438,-0.179021363740393,-0.369613837370375,-0.279643367147687,-0.311312097561357,-0.226611727102595,-0.123960375692928,-0.0873784246760725
133,0,0.177728126769731,0.0437041600232499,-0.206828262223444,-0.186245402911667,-0.261972540250191,-0.24738596818688,-0.254707293604439,-0.237957956670908,-0.155706245107,-0.108391395961337
134,0,-0.0183227773412,-0.00783096598963196,-0.158676095291721,-0.161534795966203,-0.249740306896628,-0.239290107177934,-0.10806109367305,-0.0734421959415236,-0.0884629799772411,-0.0564475695774866
135,0,-0.0518514503866009,-0.016072758505426,-0.193415361675257,-0.169606709105182,-0.23766079692298,-0.234005858668631,-0.0784522998004087,-0.0537675664259497,-0.0512857963702764,-0.0404703330535764
136,0,-0.00912280731118009,0.0024000371272106,-0.16394153515747,-0.154987094206344,-0.240234772013976,-0.212640878704129,-0.0916792780212521,-0.0581735282150335,-0.0658226212698417,-0.0240494985959047
