Patch Number,Myocardial work value
1,13.7758300078015
2,16.6374628135987
3,15.8247131792216
4,17.5539854288865
5,17.535930319839
6,12.9961576602941
7,13.0139156145209
8,12.623786526285
9,13.5085198315659
10,12.9982192398824
11,13.3506282313718
12,13.8371614344553
13,14.883440659458
14,13.217185654373
15,12.1945788655844
16,15.0153567527159
17,15.3539884402929
18,11.7302763576064
19,13.087342441065
20,13.6734404186169
21,15.2179318709638
22,15.500755505302
23,13.4404730153611
24,12.5289074836506
25,14.6767649839981
26,15.4342403342174
27,14.5685067617839
28,12.1067010714264
29,12.8368334432881
30,14.1087248093357
31,14.9509026689125
32,14.7562697402761
33,14.9976194807093
34,15.3401523134262
35,13.6998556615693
36,12.0963641398072
37,15.1232025710264
38,15.2362224215021
39,15.4559103764109
40,16.1325892369192
41,15.7916439805061
42,12.4829016340331
43,11.8028730608375
44,14.5186221716243
45,15.368886805132
46,15.5256819531305
47,15.7919844691717
48,15.6565349864365
49,15.8673659110423
50,16.9093461297864
51,14.9005724086989
52,15.5860964057467
53,14.9373550014048
54,15.6155510000851
55,15.812368131485
56,16.1210091156423
57,16.5512051504342
58,17.0775458131462
59,16.9217746392118
60,14.7510526279768
61,14.0518000381258
62,15.8574426370858
63,16.0897457581129
64,16.4356220500453
65,16.905096631446
66,16.7587593875568
67,16.88619752935
68,17.5157570750228
69,13.6983793143338
70,11.5320749376271
71,16.0893066384972
72,16.3518930839899
73,16.7292007760248
74,17.2315461410805
75,17.8662540195522
76,18.1862444638915
77,17.7498467916091
78,13.7150738253849
79,11.9176043545392
80,16.306569544733
81,16.5937074751733
82,16.9960906408963
83,17.5243121451159
84,18.3975962815824
85,17.4349798137422
86,13.7340559437997
87,11.7720865991835
88,16.5054780251576
89,16.8110645237241
90,17.2317841206732
91,18.1222793446775
92,18.7300011734587
93,13.7538294707685
94,12.1780598553272
95,16.6831768580437
96,17.0009153742268
97,17.4330355417829
98,17.9170511620228
99,18.19453299717
100,17.7940000746788
101,18.3994205119485
102,13.7732613148833
103,11.3441285758366
104,16.8377151982126
105,17.1613104646176
106,17.5978989194216
107,18.1587086768413
108,17.7815590782923
109,17.4091139000149
110,18.9787443713865
111,14.4126695676435
112,12.6658523675193
113,15.7475704498056
114,17.2913434298168
115,17.7256820101364
116,18.2823442631045
117,16.9191350903658
118,17.0801141537098
119,14.6348524011557
120,15.1115652532252
121,16.0491261471387
122,17.8168168729941
123,17.4175963237863
124,14.3806315360751
125,14.8273333165914
126,15.2557156038595
127,17.1707808861878
128,16.8282057730785
129,12.9577525866117
130,15.3056980902173
131,16.0580007450137
132,14.8039433082022
133,10.2288129475868
134,9.60900630253904
135,11.159745161073
136,10.0311398104378
137,9.51015493793933
138,10.8182443213541
139,10.1490470257842
140,13.5150056997367
141,13.3011179508027
142,12.4632555200076
143,14.3262319746669
144,15.209290205068
145,13.3808169649638
146,13.4738875061433
147,12.6050120463876
148,14.8437259541909
149,14.3321105460647
150,14.1151595723148
151,15.2522290458247
152,12.6440142586286
153,12.4801114304808
154,11.4933502082449
155,13.3696461345554
156,14.3058154439848
157,13.5178174381284
158,15.3714200644591
159,16.7804880629068
160,17.1020197957916
161,11.8675731121138
162,12.1376967802714
163,13.4520891749462
164,11.8945218200216
165,13.4855175364179
166,13.6308523834321
167,14.9003095991393
168,15.8032353713991
169,16.8171731405694
170,13.9306814570219
171,12.9304473215726
172,14.2278056756885
173,13.1973735188296
174,16.1000286684828
175,12.244735222447
176,12.653831178162
177,13.211270398443
178,13.6441299082881
179,12.6944029140048
180,12.6454787792878
181,13.9707749644716
182,14.0536500273651
183,14.6049764363496
184,15.1705627946292
185,14.4811012311283
186,14.3215452957486
187,14.4853460095503
188,14.8398520779928
189,14.2955323381571
190,14.3923666692058
191,14.5348140175477
192,14.4407828055603
193,14.8233680334633
194,14.2538266106817
195,15.1920163664264
196,15.6082931645764
197,14.7917050446259
198,15.7477967772263
199,15.9898546468605
200,16.1274557113573
201,12.6747178170398
202,17.1526479448805
203,16.4231837996971
204,15.5636606067146
205,17.450393368438
206,16.9869323330803
207,14.4053543312035
208,16.7847386166561
209,14.0441258048415
210,16.5757021480536
211,14.2481201266172
212,17.9623192085366
213,14.7068846460782
214,14.2293059369833
215,15.2397736819547
216,15.6506777095756
217,15.3985267502517
218,13.6938617048289
219,17.7803253959489
220,13.2669617765527
221,13.4924707030971
222,16.8382857254673
223,15.5215172079889
224,14.340360891144
225,13.9253448101412
226,16.5021749518725
227,18.6575955721313
228,15.6047935917618
229,14.6816180303332
230,14.3174093244354
231,15.5212448467147
232,14.8220948238698
233,14.7886413546365
234,14.9360989216479
235,15.5105925825005
236,14.159459903271
237,9.89992001126745
238,9.71029122609859
239,11.7915163637625
240,9.23252017045282
241,9.34818707879651
242,7.46196689709773
243,11.9449100591896
244,11.8844176134683
245,12.6075806856044
246,11.3365943169014
247,12.890894810689
248,10.5089419610797
249,11.6151483689737
250,10.3903048198751
251,7.31491738263314
252,13.579609037305
253,13.7358756297018
254,11.8942022766444
255,11.0580677636003
256,9.70580935555866
257,9.93501410253092
258,9.71456761594964
259,10.3394960394143
260,7.21194938346384
261,11.5401537185316
262,12.4391436643008
263,12.1305424447801
264,11.3542753275125
265,11.022073235495
266,12.3975343037561
267,11.733314168459
268,11.0020079687186
269,10.8161621613027
270,9.69905253222214
271,9.63704389268333
272,13.2427728595868
273,12.2325092293319
274,13.8626457558255
275,14.4707701546352
276,10.1123320962371
277,15.8417185531033
278,12.6918988033395
279,12.9343997457023
280,11.7854499424071
281,11.6937433470986
282,11.3489103518832
283,12.0780973341816
284,10.9348550440628
285,10.2892164826595
286,11.6166221433119
287,12.7086855383531
288,10.4694460709585
289,9.7639095771595
290,11.6048016247694
291,14.9782588215607
292,15.5886297722628
293,15.4114772230178
294,15.3023072155231
295,14.3855105109905
296,13.4965323970601
297,12.674291002044
298,12.478758074393
299,12.2903808263254
300,12.6930602287533
301,11.9576379928416
302,10.5199505580257
303,11.689445559336
304,12.6582911001395
305,16.2225502474969
306,14.7850711750683
307,12.5591199525348
308,13.4280455164213
309,12.5400577292662
310,12.7523311013182
311,12.6697163009888
312,12.0638029226363
313,12.5211101609647
314,12.747661447391
315,13.0641134149679
316,16.5290132470174
317,16.0898191522205
318,15.2751997395884
319,16.8844210452626
320,13.0187115371947
321,13.6850291041064
322,12.6728364182494
323,13.1400825958886
324,11.4791546654748
325,11.9695124442636
326,12.8934461111071
327,13.1898583626733
328,13.5793068501082
329,14.0795871635791
330,16.7089533009302
331,17.2943336498687
332,17.8978669124331
333,18.1061683715498
334,15.1890192720759
335,15.3000473276594
336,12.8081097223604
337,12.5146001770292
338,11.6906331051308
339,12.3797520504221
340,13.3558184555541
341,13.7274694284008
342,14.1951943436858
343,14.7536680528862
344,15.4160527180227
345,16.5119387286058
346,16.9429673901198
347,17.5772904512314
348,17.5924661344102
349,13.6165335799384
350,13.1710945813415
351,13.3084171006933
352,13.5512173568097
353,13.8993517989417
354,14.3506389157726
355,14.5915811611068
356,15.0093190111854
357,16.2734643382409
358,15.8990931404084
359,16.6123645907226
360,17.5944156900476
361,14.0164220265631
362,13.5585718667249
363,13.7673143819657
364,14.085757465662
365,14.513391345134
366,14.7335504957021
367,14.527024989755
368,15.1557375820284
369,15.7416149969949
370,16.1841519659166
371,15.9227609435609
372,13.9977353050639
373,14.2801462934501
374,14.6764006362548
375,15.18562864091
376,14.5275985466136
377,15.1384614447218
378,15.9187248585329
379,16.755286778761
380,14.9311726371652
381,14.4429981676259
382,14.8358045394289
383,15.3107236483128
384,15.2567482103329
385,14.8739822853978
386,15.6561410586709
387,15.4062806883106
388,15.9751887767158
389,14.8201215904729
390,15.9018334065399
391,15.3860019660951
392,15.5614987968217
393,15.1814073556765
394,15.0489972598125
395,16.6936635725065
396,15.07125158397
397,13.4797911095883
398,15.7876218131712
399,17.1966684307563
400,15.182055382651
401,14.8536941423837
402,15.4724771701733
403,18.5986460366675
404,15.385504484827
405,14.6367177533051
406,15.9675658641242
407,16.7048157096211
408,15.3471746676518
409,14.4609876791649
410,16.5712429376079
411,15.3170467862215
412,14.3278669166124
413,15.1506741681478
414,15.2932664744409
415,14.2381361233305
416,14.3928075761424
417,15.2741972288025
418,14.1918069322894
419,15.4015449525166
420,15.2583287369871
421,14.187929796873
422,16.6027068367622
423,12.7445451787946
424,15.628818876662
425,16.0126483390804
426,15.8185625718502
427,14.8125383852026
428,19.4310494223802
429,17.6281562799799
430,14.5076354164138
431,13.9824503552548
432,19.6782057469028
433,18.3929989936382
434,16.7912580987386
435,17.524553416918
436,15.1089828263365
437,15.1640196075741
438,15.853568772096
439,15.835561159919
440,13.995613047735
441,15.7722360164012
442,15.6788586923808
443,14.6773082225923
444,14.8244497264604
445,13.3169486040627
446,13.4103634416462
447,13.5021284287841
448,13.6708632598153
449,13.3036420392259
450,13.0323021538124
451,11.939559544372
452,12.4921297324797
453,11.5890943512812
454,11.5503110974216
455,12.157995509712
456,11.0971254364658
457,11.7014394385795
458,13.0947726711107
459,11.1860162765933
460,11.7035515804754
461,13.3073672369357
462,11.0661335221632
463,12.4277206116759
464,12.6660139218833
465,11.4951821902977
466,11.0775719414416
467,10.8940217117141
468,13.1676353564315
469,12.3913017657251
470,9.57510381248759
471,8.80413042097426
472,7.82934855688346
473,9.01954142914856
474,6.8168096718662
475,11.6454691648396
476,11.7868791320584
477,12.3301323177379
478,10.9897488803364
479,10.5402421202101
480,11.7540533731164
481,10.2180479098668
482,12.562950345058
483,12.1812197555655
484,13.0229160279108
485,12.2326816137887
486,10.2255642870133
487,11.8362039786855
488,13.8763720686678
489,12.8360847988588
490,12.3948181690437
491,12.1822745812974
492,12.1831853085424
493,10.4151787175944
494,11.2681265146748
495,7.67789427941163
496,14.2664577191709
497,12.7282893906745
498,12.6357768810848
499,13.3211029412876
500,12.1410792977378
501,11.6140883534409
502,5.51360613507544
503,8.6592843479247
504,5.57930736490591
505,9.73356944722907
506,8.91485307025353
507,10.2926267936604
508,11.0198024146966
509,12.9334452740921
510,12.7642130382062
511,12.9285350817356
512,15.9478700994039
513,12.0108913340147
514,12.0185801600687
515,11.50492209643
516,10.7719533172644
517,11.8639115956351
518,14.0545325697519
519,14.4238435027845
520,12.715034236751
521,13.6591639038158
522,13.8501689089603
523,12.9208610007491
524,14.3923615244381
525,12.0881708407803
526,15.788628336095
527,16.0151368788585
528,15.8407503587681
529,13.3421589720867
530,14.7340727508928
531,16.6110458836859
532,16.7590034747851
533,16.5817606914716
534,17.2760038428794
535,17.6135784642484
536,17.437372489538
537,13.4402056399369
538,18.8522971544773
539,17.801311822302
540,18.6330110717674
541,14.4691029149905
542,18.6222227358759
543,18.1232268704921
544,18.5851600347745
545,16.7956032865613
546,16.6093351195224
547,17.533159740299
548,17.5893387810544
549,18.5541602410402
550,14.4731211660321
551,17.9779252271643
552,17.7712942356538
553,16.9091686241037
554,19.7535547584456
555,15.0539345284022
556,18.1862125961775
557,19.1878811591594
558,16.8531402592026
559,18.664735339292
560,14.2284600575486
561,16.5454952904138
562,17.3923648401139
563,18.3330547373112
564,19.3569620444141
565,16.8550389738032
566,17.5312355886453
567,16.1352351834748
568,17.4721179768187
569,18.4097342279576
570,19.4425132337612
571,16.6812305119106
572,17.3895452243419
573,15.4385717874073
574,17.4943266055271
575,18.4137082779724
576,19.4397169153231
