Patch Number,Myocardial work value
1,3.4010743674637
2,3.22495264807832
3,3.18434281333018
4,3.5443690098267
5,3.4148222470395
6,4.05144753500758
7,3.45408040111002
8,3.83840740418918
9,3.24396880467205
10,2.97331215053854
11,3.34495162806811
12,3.29329468593879
13,4.08668318146705
14,4.06258488524829
15,3.22055521250762
16,3.23873747658909
17,3.40191788901123
18,3.41087863274961
19,4.23505530654861
20,4.24042507691094
21,3.67605536563363
22,3.29665156059341
23,3.65166804766825
24,3.5343085963906
25,3.96479255782254
26,4.41021614772271
27,4.26067635279798
28,3.67524610431451
29,3.44812249359873
30,3.66201656681712
31,3.67257508984631
32,4.09570989924032
33,4.52598766261715
34,4.37557064271278
35,3.83177208584079
36,3.78467723049205
37,4.31613421971622
38,4.32968163730527
39,3.95124973880984
40,4.22026776279563
41,4.63199763435649
42,4.42974711499739
43,4.26740275327538
44,4.44900423635474
45,4.30885755102
46,4.21699019985596
47,4.0891913416366
48,5.07489344042959
49,4.47701858013773
50,4.35309442459437
51,4.88986846791802
52,4.98697476620765
53,4.5394781232616
54,3.04188216376931
55,2.75173417311752
56,2.78810320027904
57,3.03064927130232
58,2.92413077773412
59,3.15389005428849
60,3.05110813327513
61,3.55573164638202
62,3.00984142815324
63,3.57195153437884
64,2.88506563272276
65,2.80601560646991
66,2.89034316959552
67,2.76699296420273
68,2.77025958281113
69,3.20150490862466
70,3.36437960341673
71,3.77543159317921
72,3.19939844562301
73,3.32434109769164
74,2.92515753769127
75,2.84386543810247
76,2.8611315523539
77,2.85869304346273
78,2.86170564398367
79,2.87095413513024
80,2.88732455147843
81,3.43334449787818
82,3.6852689707155
83,2.94975568824328
84,3.11453984033763
85,2.96186937170429
86,2.97501673975079
87,3.45797028644634
88,3.93599270547158
89,3.79620157634733
90,2.98437165615558
91,2.78255153350674
92,3.11590485866116
93,3.59712547441124
94,4.07824333703543
95,3.93574726296145
96,2.87835717496429
97,3.23446056131589
98,3.2537257338533
99,3.73912074047176
100,4.21884641650131
101,3.85283380472239
102,3.64786820320978
103,2.99371791962385
104,3.34723455462255
105,3.37677564972374
106,3.39636233056182
107,3.98755792393879
108,4.21494972511871
109,3.51625332392213
110,3.49288371828919
111,3.5208713513722
112,3.98727973200311
113,4.44666543882871
114,4.11670749388147
115,3.16784355927132
116,2.81282100382334
117,3.63690500341758
118,3.66183024285417
119,4.78786473225425
120,4.20629515138036
121,3.65730300709873
122,3.43966537372728
123,4.34831404635414
124,4.91986213872164
125,3.5992722097815
126,3.48065535226968
127,4.5543511932407
128,4.53811230219952
