Patch Number,Myocardial work value
1,6.82133360239635
2,6.20415332184176
3,5.64038668745639
4,8.75784287733999
5,5.78572496114352
6,6.11394713481305
7,6.1320096975909
8,6.20370092937854
9,7.47418277753551
10,9.45677742679892
11,6.04587793839748
12,6.31431953263411
13,6.62909665979167
14,6.88091103080407
15,8.22833708636946
16,8.86616452364208
17,6.35608386445273
18,6.38256019294075
19,7.18824260808539
20,7.10063691548598
21,8.35080932004076
22,7.63465123306382
23,6.29342019011474
24,6.77346996849919
25,7.03624854483874
26,7.3618207371919
27,7.27208651318234
28,8.42505541237798
29,7.52823962436038
30,6.50629506320826
31,6.53055025378067
32,7.55850358041112
33,7.48219415483329
34,7.39187067035371
35,8.85475916382735
36,7.09644592491147
37,6.45234813632121
38,7.31878628421449
39,6.80785646547416
40,7.35976213533671
41,7.22672900376467
42,7.61988331922296
43,7.54622955941852
44,8.55732863641338
45,8.03829513513853
46,6.46623857199262
47,6.43656255031009
48,7.7033990888777
49,7.67201054893079
50,7.62073325469178
51,8.20756924239707
52,8.53319623756883
53,6.30029436442067
54,6.22528895318525
55,7.62677863504661
56,7.60325034055542
57,7.55854732783421
58,8.67342388793018
59,7.27083004444377
60,6.07911419955162
61,5.95714749899097
62,7.48329196098814
63,7.46830794414386
64,8.36148756769916
65,8.75924278016492
66,6.67531133686913
67,6.63527080069726
68,8.5546781929501
69,8.72840826153282
70,8.42335537346071
71,7.71315549645921
72,8.33904991942578
73,7.78647370729621
74,6.37657641822286
75,5.53267604286787
76,5.3220082053853
77,5.71651285894005
78,4.82305719166256
79,4.91688625723577
80,6.12744239142163
81,7.2787654775533
82,7.67664142196802
83,5.42264256574297
84,5.6853023775627
85,6.01678920768009
86,5.65736132811372
87,5.58039664954014
88,7.30193092446001
89,7.23866127554544
90,5.74595063744701
91,6.14577770589914
92,6.12210165685145
93,6.30629506664271
94,6.24502985341572
95,7.80180509933123
96,7.25714456927658
97,6.07780571544673
98,6.12371590705282
99,6.70822221471093
100,7.00600727061682
101,6.99120835702194
102,6.95316846745007
103,6.67294256733608
104,6.79312454036809
105,6.24863880466269
106,6.7769343322439
107,6.63682751987095
108,6.57877200241671
109,7.10609861663777
110,6.52573236730848
111,6.54835001708313
112,6.9033777662099
113,7.2490935424942
114,7.59399595845551
115,5.6982504852912
116,6.70426220681114
117,6.68177673489401
118,7.7743615247911
119,5.31228308023256
