x coordinate,y coordinate,z coordinate
159.375182390213,80.6250922679901,7.5
157.500180244446,80.6250922679901,9.375
159.375182390213,78.7500901222229,9.375
159.375182390213,82.5000944137573,7.5
157.500180244446,82.5000944137573,9.375
159.375182390213,84.3750965595245,9.375
161.25018453598,80.6250922679901,9.375
161.25018453598,82.5000944137573,7.5
161.25018453598,84.3750965595245,7.5
161.25018453598,86.2500987052917,9.375
163.125186681747,82.5000944137573,9.375
163.125186681747,84.3750965595245,9.375
153.750175952911,82.5000944137573,9.375
151.875173807144,82.5000944137573,11.25
153.750175952911,80.6250922679901,11.25
153.750175952911,84.3750965595245,11.25
155.625178098679,82.5000944137573,9.375
155.625178098679,80.6250922679901,11.25
155.625178098679,84.3750965595245,9.375
155.625178098679,86.2500987052917,11.25
157.500180244446,80.6250922679901,11.25
157.500180244446,84.3750965595245,9.375
157.500180244446,86.2500987052917,11.25
159.375182390213,80.6250922679901,11.25
159.375182390213,86.2500987052917,11.25
161.25018453598,82.5000944137573,11.25
161.25018453598,84.3750965595245,11.25
150.000171661377,73.1250836849213,11.25
148.12516951561,73.1250836849213,13.125
150.000171661377,71.2500815391541,13.125
150.000171661377,75.0000858306885,13.125
150.000171661377,78.7500901222229,11.25
148.12516951561,78.7500901222229,13.125
150.000171661377,76.8750879764557,13.125
150.000171661377,80.6250922679901,13.125
151.875173807144,73.1250836849213,11.25
151.875173807144,71.2500815391541,13.125
151.875173807144,75.0000858306885,11.25
151.875173807144,76.8750879764557,11.25
151.875173807144,78.7500901222229,11.25
151.875173807144,80.6250922679901,11.25
150.000171661377,82.5000944137573,13.125
151.875173807144,84.3750965595245,13.125
153.750175952911,73.1250836849213,11.25
153.750175952911,71.2500815391541,13.125
153.750175952911,75.0000858306885,11.25
153.750175952911,76.8750879764557,11.25
153.750175952911,78.7500901222229,11.25
153.750175952911,86.2500987052917,13.125
155.625178098679,73.1250836849213,13.125
155.625178098679,75.0000858306885,11.25
155.625178098679,76.8750879764557,11.25
155.625178098679,78.7500901222229,11.25
155.625178098679,86.2500987052917,13.125
157.500180244446,75.0000858306885,11.25
157.500180244446,73.1250836849213,13.125
157.500180244446,76.8750879764557,11.25
157.500180244446,78.7500901222229,11.25
157.500180244446,82.5000944137573,13.125
157.500180244446,84.3750965595245,13.125
159.375182390213,75.0000858306885,13.125
159.375182390213,76.8750879764557,13.125
159.375182390213,78.7500901222229,13.125
