% RR interval,RV pressure (mmHg)
0,21.6394736842105
1.69491525423734,22.4078947368421
2.54237288135596,23.3684210526316
3.38983050847457,24.328947368421
4.23728813559325,26.4421052631579
5.93220338983053,29.1315789473684
6.77966101694921,31.821052631579
7.62711864406782,33.9342105263158
8.47457627118644,34.8947368421053
8.47457627118644,37.5842105263158
10.1694915254238,39.121052631579
11.0169491525424,42.3868421052632
11.0169491525424,43.7315789473684
12.7118644067797,45.0763157894737
14.406779661017,47.9578947368421
14.406779661017,50.2631578947368
15.2542372881356,51.8
16.9491525423729,53.5289473684211
17.7966101694916,57.1789473684211
19.4915254237288,62.1736842105263
20.3389830508474,64.8631578947368
21.1864406779661,66.9763157894737
22.8813559322034,68.3210526315789
23.7288135593221,70.4342105263158
24.5762711864407,72.3552631578947
26.271186440678,73.3157894736842
26.271186440678,75.0447368421053
27.9661016949153,75.6210526315789
28.8135593220339,76.5815789473684
29.6610169491526,77.7342105263158
31.3559322033898,78.5026315789474
33.0508474576271,79.4631578947368
35.5932203389831,80.4236842105263
38.135593220339,81.1921052631579
39.8305084745763,81
42.3728813559322,80.0394736842105
42.3728813559322,78.8868421052632
44.0677966101695,77.5421052631579
44.9152542372881,76.3894736842105
45.7627118644068,74.4684210526316
46.6101694915255,72.5473684210526
47.4576271186441,68.3210526315789
48.3050847457628,66.7842105263158
49.1525423728814,62.3657894736842
50,60.8289473684211
50.8474576271187,57.7552631578947
51.6949152542373,55.45
52.542372881356,50.4552631578947
53.3898305084746,45.2684210526316
54.2372881355932,42.1947368421053
55.0847457627119,39.6973684210526
56.7796610169492,36.8157894736842
56.7796610169492,34.5105263157895
57.6271186440678,29.7078947368421
58.4745762711864,27.9789473684211
59.3220338983051,23.5605263157895
60.1694915254238,22.2157894736842
61.0169491525424,18.7578947368421
61.864406779661,17.6052631578947
62.7118644067797,16.2605263157895
64.406779661017,15.1078947368421
64.406779661017,13.3789473684211
66.1016949152543,12.4184210526316
67.7966101694916,11.2657894736842
69.4915254237288,10.3052631578947
72.0338983050848,10.6894736842105
73.7288135593221,11.2657894736842
74.5762711864407,12.2263157894737
75.4237288135593,13.3789473684211
77.1186440677967,13.9552631578948
77.1186440677967,14.9157894736842
79.6610169491526,15.8763157894737
80.5084745762712,17.2210526315789
81.3559322033898,18.7578947368421
83.0508474576271,19.5263157894737
83.0508474576271,20.4868421052632
83.8983050847458,21.2552631578947
84.7457627118645,21.6394736842105
85.5932203389831,22.9842105263158
86.4406779661017,23.9447368421053
87.2881355932203,24.7131578947368
88.135593220339,25.2894736842105
90.6779661016949,25.6736842105263
92.3728813559322,25.2894736842105
94.0677966101695,24.7131578947368
95.7627118644068,24.1368421052632
95.7627118644068,23.3684210526316
97.4576271186441,22.7921052631579
99.1525423728814,22.0236842105263
