% RR interval,RV pressure (mmHg)
0,14.37563452
0.925925926,15.07614213
5.555555556,15.1928934
9.259259259,15.54314721
10.18518519,16.47715736
12.03703704,18.46192893
13.88888889,20.79695431
14.81481481,23.59898477
14.81481481,27.10152284
16.66666667,31.18781726
18.51851852,34.8071066
19.44444444,38.1928934
20.37037037,42.51269036
21.2962963,44.96446701
23.14814815,46.71573604
27.77777778,47.88324873
30.55555556,47.18274112
33.33333333,46.4822335
34.25925926,46.24873096
37.96296296,46.71573604
43.51851852,46.94923858
48.14814815,46.59898477
49.07407407,45.43147208
51.85185185,43.79695431
54.62962963,41.92893401
55.55555556,40.64467005
57.40740741,37.49238579
58.33333333,35.27411168
60.18518519,33.05583756
62.03703704,30.25380711
61.11111111,27.68527919
63.88888889,25.11675127
64.81481481,22.43147208
66.66666667,19.86294416
68.51851852,16.12690355
69.44444444,13.90862944
71.2962963,12.15736041
72.22222222,10.17258883
74.07407407,8.538071066
75.92592593,7.137055838
78.7037037,5.852791878
82.40740741,4.685279188
86.11111111,4.335025381
89.81481481,4.918781726
90.74074074,6.670050761
92.59259259,7.837563452
92.59259259,8.888324873
94.44444444,9.588832487
95.37037037,10.75634518
97.22222222,11.8071066
97.22222222,13.79187817
100,14.60913706
