% RR interval,RV pressure (mmHg)
1.4435,21.223
1.7368,21.958
2.0824,22.382
2.8048,23.59
3.7459,25.837
4.0113,26.783
4.0332,26.974
4.615,29.124
5.5386,32.456
5.8299,32.641
5.8874,31.494
6.551,32.261
7.6611,34.674
8.067,35.735
7.7909,35.215
7.5378,34.247
7.6212,33.817
8.2455,35.184
9.3045,38.266
10.246,40.797
11.053,42.343
11.452,43.053
12.009,44.5
12.861,46.926
13.167,47.686
13.076,46.88
13.109,46.327
13.568,47.654
14.341,50.495
14.953,52.26
15.675,53.74
16.57,55.974
16.881,56.932
16.796,56.365
16.889,55.693
17.645,56.369
19.011,58.666
20.102,60.839
20.865,62.357
21.632,63.765
22.066,64.124
22.293,63.776
22.893,64.199
23.909,65.654
24.817,66.906
25.843,67.794
27.199,68.162
29.184,68.209
30.968,68.119
32.108,67.859
32.652,67.021
33.139,65.819
33.805,64.57
34.294,63.442
34.786,62.41
35.459,61.405
35.904,60.4
36.184,59.402
36.555,58.42
36.953,57.435
37.37,56.41
37.768,55.388
38.186,54.4
38.584,53.415
39.001,52.376
39.442,51.217
40.013,49.797
40.534,48.225
40.758,46.899
40.778,45.825
40.752,44.834
40.822,43.903
41.224,43.061
41.901,42.218
42.3,41.288
42.367,40.242
42.335,38.991
42.298,37.595
42.361,36.391
42.759,35.371
43.43,34.327
43.827,33.274
43.894,32.255
43.868,31.249
43.889,30.244
44.074,29.225
44.396,28.158
44.626,27.038
44.856,25.91
45.176,24.79
45.36,23.724
45.428,22.705
45.661,21.699
46.196,20.694
46.73,19.635
46.956,18.384
47.061,16.974
47.453,15.723
48.124,14.663
48.521,13.658
48.59,12.653
48.61,11.634
48.84,10.499
49.364,9.0858
49.885,7.5271
50.206,6.2764
50.654,5.3654
51.378,4.5231
52.084,3.6001
53.07,2.6877
54.696,2.0859
56.64,2.0942
58.175,2.5355
59.338,3.1379
60.803,4.1975
62.326,5.2603
63.67,5.9624
65.795,7.015
68.699,8.2791
71.977,8.978
75.402,8.9926
78.884,8.7854
82.41,8.7437
85.938,9.1078
89.148,9.9056
91.43,10.652
92.684,11.25
93.975,12.28
95.313,13.411
96.14,14.256
96.939,15.394
97.989,17.083
99.18,19.138
99.964,20.204
