% RR interval,RV pressure (mmHg)
0,21.165
0.696864111498201,21.945
1.39372822299646,22.92
1.39372822299646,24.09
2.78745644599297,24.87
2.78745644599297,26.625
3.48432055749123,27.99
4.18118466898943,28.965
5.57491289198606,29.94
5.57491289198606,32.28
6.27177700348432,33.45
7.66550522648083,35.985
8.36236933797909,37.74
9.05923344947735,39.69
9.7560975609756,42.42
9.7560975609756,44.175
10.4529616724739,45.54
11.1498257839721,46.905
11.8466898954704,48.075
11.8466898954704,50.805
13.9372822299651,51.975
13.9372822299651,54.315
14.6341463414634,54.9
15.3310104529616,57.045
16.0278745644599,58.02
16.7247386759582,58.8
17.4216027874563,60.36
18.1184668989547,61.53
18.815331010453,62.505
19.5121951219512,63.48
20.2090592334495,64.65
20.2090592334495,66.99
20.9059233449477,67.965
21.602787456446,70.695
22.2996515679442,71.475
22.9965156794424,72.645
23.6933797909408,74.985
24.390243902439,76.35
25.0871080139372,77.715
25.7839721254355,79.08
26.4808362369338,81.225
27.177700348432,82.005
27.8745644599303,83.76
28.5714285714284,84.54
29.2682926829268,85.32
30.6620209059232,86.1
32.0557491289198,87.075
33.4494773519164,87.66
35.5400696864111,87.66
36.9337979094076,87.075
37.6306620209059,86.295
38.327526132404,85.32
39.0243902439024,84.345
40.4181184668989,83.175
40.4181184668989,81.42
41.1149825783972,80.445
42.5087108013937,77.91
43.205574912892,76.155
43.9024390243901,73.23
43.9024390243901,71.28
44.5993031358885,67.38
45.2961672473867,65.625
45.993031358885,63.48
46.6898954703832,61.335
47.3867595818815,58.8
48.0836236933798,56.655
48.780487804878,51.975
49.4773519163763,50.025
50.1742160278745,47.49
50.8710801393728,44.955
51.5679442508709,42.615
52.2648083623693,38.325
52.9616724738676,34.23
53.6585365853658,33.06
53.6585365853658,32.085
54.3554006968641,28.38
55.0522648083623,26.43
55.7491289198606,25.065
57.1428571428571,22.14
57.8397212543554,19.605
58.5365853658536,17.265
59.2334494773519,15.12
59.9303135888501,14.535
61.3240418118467,13.365
62.7177700348432,12
64.8083623693379,12
66.8989547038327,12.975
68.2926829268292,13.755
71.0801393728223,14.34
73.8675958188153,13.95
75.9581881533101,13.17
78.0487804878048,12.78
80.8362369337979,12.78
83.6236933797909,13.365
86.4111498257839,14.145
89.198606271777,14.73
92.6829268292682,15.51
94.773519163763,16.485
96.8641114982578,17.655
98.9547038327527,19.215
